"Year","Exclusive","Other","GNI"
"2000","304019621","96728760","0.3"
"2001","322530620","111784346","0.3"
"2002","371128256","119301553","0.33"
"2003","371992160","122327339","0.33"
"2004","393075682","154151681","0.34"
"2005","462509026","263191898","0.44"
"2006","501478060","163288420","0.38"
"2007","547104890","169763980","0.38"
"2008","600324782","207875827","0.42"
"2009","671269172","255207697","0.5"
"2010","743945444","262454556","0.53"
"2011","777056157","236279856","0.51"
"2012","788930256","237752998","0.51"
"2013","861890487","219200001","0.53"
"2014","991344003","240700001","0.59"
"2015","923403514","255922234","0.54"
"2016","601824391.56","356432945.0000001","0.44"
"2017","601896346","356432945.0000001","0.43"
"2018","540352371","309080954","0.35"
"2019","555742813.0200012","472591454.4799998","0.42"
"2020","701024212.8599991","421507167.80000174","0"
"2021","447532530.4899999","1750000","0"